F-1,F0,A0,C1,D1,G1,A1,A♯1,C2,C♯2,D2,E2,F2,F♯2,G2,G♯2,A2,A♯2,B2,C3,C♯3,D3,D♯3,E3,F3,F♯3,G3,G♯3,A3,A♯3,B3,C4,C♯4,D4,D♯4,E4,F4,F♯4,G4,G♯4,A4,A♯4,B4,C5,C♯5,D5,D♯5,E5,F5,F♯5,G5,G♯5,A5,A♯5,B5,C6,C♯6,D6,D♯6,E6,F6,F♯6,G6,G♯6,A6,A♯6,C7,D♯7
0,0,0,0,0,0,0,0,12.93,0,10.37,0,0,0,0,25.68,0,30.79,0,75.77,0,41.94,24.97,18.07,11.61,0,22.66,0,14.08,0,0,37.06,0,20.32,18.24,28.11,0,12.31,54.58,12.85,16.77,38.98,152.05,489.21,214.97,10.99,12.38,10.83,0,0,0,0,12.32,12.85,10.03,12.60,11.00,0,0,0,0,0,34.20,0,0,0,44.92,0
0,0,10.78,0,0,0,0,0,0,0,0,0,0,20.11,0,0,0,0,0,180.86,0,0,0,0,18.40,13.64,17.47,0,0,11.49,19.13,43.46,0,11.39,0,25.13,0,12.59,109.90,0,0,17.38,15.72,205.90,125.42,11.20,0,29.31,0,0,0,0,0,16.69,12.91,11.97,0,0,0,0,0,0,14.67,0,0,0,10.51,0
0,0,0,0,0,0,0,0,0,0,0,14.08,0,0,0,19.05,0,0,0,255.83,0,0,0,0,13.00,16.36,0,0,11.25,0,0,41.73,0,12.29,0,10.30,0,0,130.16,0,0,0,12.53,109.53,37.16,0,0,26.64,0,0,0,0,0,17.73,0,40.87,0,0,0,0,0,0,0,0,0,0,0,0
0,0,15.42,0,0,0,0,0,0,0,12.43,0,20.10,0,0,29.55,0,0,0,312.84,0,0,0,0,0,10.29,0,0,0,10.30,0,23.98,0,0,0,11.27,0,0,110.67,0,0,0,20.24,77.75,0,0,0,22.23,0,0,0,0,0,16.23,0,12.20,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,328.75,0,0,0,0,22.61,0,33.25,15.90,0,0,11.69,29.36,11.69,0,0,59.17,0,13.96,34.08,16.14,0,0,15.52,39.00,0,56.91,0,24.84,0,0,0,0,0,11.73,11.27,10.63,0,0,0,0,12.86,0,0,0,0,0,0,0
0,10.42,0,0,0,11.22,0,0,0,12.03,0,0,0,19.74,0,0,0,0,0,304.40,0,0,0,14.42,0,0,18.48,0,0,0,0,32.57,0,0,0,26.22,10.51,0,24.37,0,0,0,0,40.94,0,50.42,0,29.16,0,0,0,0,0,10.62,17.21,0,0,10.06,0,0,11.89,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.46,0,0,0,14.48,12.15,0,43.37,0,0,0,61.51,85.49,0,0,0,60.51,43.96,0,56.66,0,0,26.43,0,38.07,12.26,28.15,0,23.62,16.97,26.51,106.87,12.00,0,12.53,13.99,14.67,0,0,0,0,0,0,15.30,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,13.47,0,0,0,0,0,0,0,0,169.92,0,0,0,0,0,0,38.42,27.46,15.90,0,54.38,262.39,16.08,20.05,0,111.52,18.12,0,53.76,0,0,22.22,18.06,44.55,11.88,18.83,0,21.49,11.98,19.96,352.99,26.78,0,24.38,11.11,16.93,0,0,0,12.00,0,0,32.97,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,10.21,0,0,0,0,0,0,0,149.49,0,0,0,0,0,0,41.38,0,0,19.65,0,143.05,0,20.27,13.27,42.73,16.33,0,39.87,0,0,47.89,0,25.89,0,0,0,13.78,0,11.05,167.19,0,0,16.37,0,0,0,0,0,11.47,0,0,12.84,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.68,0,0,0,0,0,0,34.43,0,12.04,0,20.55,32.13,0,0,10.96,50.82,10.45,0,32.19,0,0,36.02,0,22.53,0,0,0,11.10,0,0,77.91,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,33.90,0,0,30.91,0,0,0,176.72,0,24.81,0,33.49,28.07,0,41.41,0,0,0,16.48,106.45,11.62,0,15.40,32.76,41.76,12.32,35.34,0,11.54,27.44,10.65,26.28,10.47,0,0,10.13,0,0,30.53,0,19.84,30.04,11.94,21.19,0,0,0,0,0,0,0,0,0,10.81,0,0
0,0,0,0,0,0,0,0,0,0,0,0,80.65,0,0,28.40,0,0,0,171.74,0,0,24.30,0,41.24,0,30.92,0,14.42,19.18,0,138.37,0,13.51,10.90,44.67,47.69,0,31.76,0,15.17,18.80,0,46.27,0,0,13.29,12.00,0,0,26.44,0,11.78,21.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,112.24,0,0,0,18.22,0,0,109.19,0,0,0,0,62.69,0,26.86,0,14.86,16.82,0,128.33,0,14.15,0,40.32,64.35,0,13.78,0,15.96,11.29,0,29.85,0,0,0,0,0,0,13.86,0,11.21,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,109.68,0,0,0,0,0,0,48.78,0,0,0,0,85.82,0,18.07,0,16.59,0,0,104.80,0,0,0,28.30,46.33,0,0,0,14.11,0,0,26.63,12.64,0,10.37,0,0,0,10.73,0,0,43.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,108.30,0,0,0,0,0,0,20.41,0,0,0,23.11,32.49,0,15.98,0,0,0,17.97,70.82,153.22,11.91,0,17.05,100.29,0,0,0,14.16,0,0,40.92,69.60,0,12.19,0,12.23,0,0,0,0,16.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,116.52,0,0,0,0,0,0,23.51,0,0,0,14.45,32.67,0,0,0,0,0,0,42.18,125.68,0,0,13.90,86.51,0,0,0,12.37,0,0,17.84,72.84,0,0,0,14.58,0,0,0,0,22.59,0,0,0,0,10.89,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,111.74,0,0,0,0,0,0,10.54,0,0,0,0,36.41,0,0,0,0,0,0,23.53,84.81,0,0,0,50.31,0,0,0,11.98,0,0,18.23,52.98,0,0,0,15.12,0,0,0,0,15.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
